,train,val,test
130,TCGA-DX-A23V-01Z-00-DX1.E7E5DAB8-EB00-44A2-91F1-2C660F624D1E,,
131,TCGA-DX-A2J0-01Z-00-DX1.D967A85F-4E39-4D18-A548-0767A7A761CE,,
132,751380_7495 20,,
133,732812_LP_3_587 20_12 ,,
134,737695_588 20_6,,
135,TCGA-DX-AB36-01Z-00-DX1.83E57948-B439-45B6-ACBF-1CBBCF79EE88,,
136,TCGA-DX-A7EI-01Z-00-DX2.7CAF2DEA-34A2-4841-94BE-C4B814D479CD,,
137,TCGA-DX-AB2F-01Z-00-DX2.860CF225-64CE-42E2-A6FF-E405E44D0439,,
138,TCGA-DX-A6BE-01Z-00-DX2.A799F2A2-3BB8-4CD2-9150-43B6B35474E4,,
139,742405_1629_20_1,,
140,TCGA-DX-A6BE-01Z-00-DX1.67FF80A5-340F-4709-8976-A2A1FCF16BA9,,
141,TCGA-DX-A23Z-01Z-00-DX1.BA0DD1F3-2339-499D-B686-5531CA73E462,,
142,742405_1629 20_14,,
143,TCGA-DX-AB2G-01Z-00-DX3.F55EEE13-A4AA-4E04-9F7F-09922ABEECF1,,
144,737695_588 20_1,,
145,742405_1629 20_3,,
146,742405_1629 20_12,,
147,745521_3960_20_4,,
148,732812_LP_3_587 20_1 ,,
149,TCGA-QQ-A5VA-01Z-00-DX1.64E25D9A-BB2A-44DA-9C58-08E1FCA8F29F,,
150,C3L-05507-28,,
151,737695_588 20_3,,
152,732812_LP_3_587 20_13 ,,
153,TCGA-DX-A3M2-01Z-00-DX1.B2806534-80E2-488B-852D-F87D8F6B0997,,
154,732812_LP_3_587 20_5 ,,
155,TCGA-DX-AB37-01Z-00-DX2.47D61CC1-F1E9-4423-9F64-6BAE8EC6735A,,
156,TCGA-WK-A8XQ-01Z-00-DX4.30293A97-47CC-4EB2-AFDE-458E7FE19759,,
157,737695_588 20,,
158,TCGA-DX-A6BH-01Z-00-DX2.8BF0E385-0450-4D17-B5EC-EE499DA5499C,,
159,TCGA-DX-A6BF-01Z-00-DX1.65A5BFB0-4D3A-466E-9E7C-B8E4C1E02FF5,,
160,TCGA-DX-A1KX-01Z-00-DX1.334B2EEA-33C8-40A5-A19F-61D0087C978E,,
161,TCGA-DX-AB2H-01Z-00-DX1.F595B9EE-062B-41CA-B96C-58E8F11963AF,,
162,TCGA-3B-A9HL-01Z-00-DX1.E7B32155-5633-4623-A8F9-D51F0EB4E8EA,,
163,4567206215_1290_20_2,,
164,742405_1629 20_11,,
165,TCGA-DX-A1L2-01Z-00-DX1.CEAD4A86-AFFE-4A9B-A7B8-07791459091B,,
166,TCGA-DX-A1KZ-01Z-00-DX1.0F3D83DA-B9C9-4F6F-884B-FF2C949FB0F2,,
167,TCGA-WK-A8XQ-01Z-00-DX1.9567D1AA-A6BE-4642-9E4A-FA10F5CE189B,,
168,748804_6555 20,,
169,745521_3960_20_8,,
170,TCGA-DX-A1L3-01Z-00-DX1.E8818734-E8DA-40F7-9E14-5806D4691E96,,
171,TCGA-DX-A2IZ-01Z-00-DX1.21447C40-8521-4E40-90C6-D1A937B64190,,
172,732812_LP_3_587 20_10 ,,
173,732812_LP_3_587 20_2 ,,
174,TCGA-DX-A6BK-01Z-00-DX1.2667714B-C1C9-4204-B04A-98861834E65E,,
175,TCGA-DX-A48N-01Z-00-DX1.BFC9AF5D-3E7E-431E-B6CC-99F98FB4873A,,
176,TCGA-DX-A3M1-01Z-00-DX1.89418A40-925B-49FA-8A6D-C67DF76DBD6F,,
177,TCGA-DX-A1KU-01Z-00-DX1.3A094B6B-CF4D-4012-841A-3B888E09327D,,
178,TCGA-DX-A23Y-01Z-00-DX1.1D3F8195-645A-49D4-9044-4261FEFD7EF0,,
179,TCGA-DX-A3LU-01Z-00-DX1.DFE76532-13E0-4359-BFFD-D3846A326254,,
180,TCGA-DX-AB2H-01Z-00-DX4.D7CB742A-A0B8-4454-A291-85F8D9A8C21E,,
181,TCGA-DX-A23T-01Z-00-DX1.AEFA32EC-6E45-471F-A0F9-D891F1B25A22,,
182,TCGA-DX-A3U5-01Z-00-DX1.E786E6CE-C1C4-4F79-8304-C59BC9ADD0AD,,
183,745521_3960_20_2,,
184,TCGA-WK-A8XQ-01Z-00-DX3.224831F2-0BF9-4055-B5FA-D08B88B29962,,
185,742405_1629 20_16,,
186,C3L-05023-24,,
187,742405_1629 20_9,,
188,559279_6998 20 - 2020-08-04 18.55.08,,
189,742405_1629 20_6,,
190,732812_LP_3_587 20_9 ,,
191,TCGA-DX-A23U-01Z-00-DX1.39EF5662-E7E5-4D5C-BB70-9AA00B762AC5,,
192,742405_1629 20_7,,
193,732812_LP_3_587 20_11 ,,
194,732812_LP_3_587 20_4 ,,
195,TCGA-3R-A8YX-01Z-00-DX1.C340AFDA-E53B-4EA5-BA65-2F2F6AAA3B21,,
196,748804_6555 20_3,,
197,C3L-05852-21,,
198,TCGA-DX-AB2H-01Z-00-DX3.EFF4CE5A-FE1D-4ADE-8EA1-17618C0C8519,,
199,742405_1629 20_18,,
200,742405_1629 20_5,,
201,732812_LP_3_587 20_8 ,,
202,TCGA-WK-A8XO-01Z-00-DX1.B5C49FBF-EEF4-40E2-8C7C-4794E6846B65,,
203,742405_1629 20_4,,
204,745521_3960_20_7,,
205,TCGA-DX-A6BF-01Z-00-DX2.D5380C86-471E-41CE-B61E-5117794EBCD6,,
206,732812_LP_3_587 20_3 ,,
207,TCGA-DX-AB2G-01Z-00-DX1.3AB46986-3D64-4395-85CB-CFFDA2024D9A,,
208,TCGA-DX-A6BG-01Z-00-DX1.64FE42B8-DE0D-4C50-817B-1F0FB159CD2F,,
209,TCGA-DX-AB2F-01Z-00-DX3.E6CC5C3A-C439-48F9-AC5F-F18469220D57,,
210,750818_8722 20 ,,
211,TCGA-DX-AB3A-01Z-00-DX1.1AD7742A-DFB9-4898-8598-2A99B03C4A7A,,
212,4567206215_1290_20_1,,
213,TCGA-WK-A8XO-01Z-00-DX5.45E4CD45-C8B2-4686-861C-5E7264FBA983,,
214,TCGA-FX-A2QS-01Z-00-DX1.1C5D6E33-BDFD-48A1-9552-0013393F2EAC,,
215,TCGA-DX-A1KY-01Z-00-DX1.0523F0DD-BDCB-479B-836E-CCAB52D051F0,,
216,TCGA-WK-A8XQ-01Z-00-DX5.8854940D-4B20-4241-B9FD-4F7D1C109D8F,,
217,742405_1629 20_10,,
218,TCGA-DX-AB2G-01Z-00-DX2.163DEDDF-91EC-43F3-AD0A-BD4F585FAB7A,,
219,4567206215_1290_20_4,,
220,742405_1629 20_8,,
221,742405_1629 20_2,,
222,TCGA-DX-A7EI-01Z-00-DX4.7AD7DC7F-0192-407B-B94D-83E398E88AF9,,
223,745521_3960_20_9,,
224,737695_588 20_8,,
225,732812_LP_3_587 20_14 ,,
226,TCGA-DX-A3LY-01Z-00-DX1.9F133C2C-AFFA-4A13-AA2B-BB4824FFAD61,,
227,737695_588 20_5,,
228,TCGA-DX-AB35-01Z-00-DX1.7EC65E28-9582-463F-AD56-985E0826E2CE,,
229,737695_588 20_7,,
230,TCGA-DX-A3U6-01Z-00-DX1.ACF0D3DB-CB03-463D-B3BB-3F513A9E60C6,,
231,C3L-05023-25,,
232,TCGA-DX-A1L4-01Z-00-DX1.771F338F-94D2-432F-A35D-6B72852BC245,,
233,737695_588 20_9,,
234,742405_1629 20_13,,
235,742405_1629 20_17,,
236,TCGA-3B-A9HJ-01Z-00-DX1.69A75A26-AE30-45BC-AD0E-35CEB9377DD0,,
237,TCGA-DX-A3LW-01Z-00-DX1.0C50FA3C-7A1E-4D34-BC48-B134C6220356,,
238,745521_3960_20_1,,
239,741797_4182 20 - 2020-12-01.12,,
240,745521_3960_20_3,,
241,745521_3960_20_10,,
242,C3L-05023-26,,
